solar irradiance	太阳辐照度
concentrated plant	concentrated plant
concentrated facility	concentrated facility
concentrated project	concentrated project
concentrated installation	concentrated installation
concentrated array	concentrated array
concentrated farm	concentrated farm
concentrated park	concentrated park
concentrated station	concentrated station
concentrated generator	concentrated generator
concentrated unit	concentrated unit
concentrated module	concentrated module
concentrated solution	concentrated solution
concentrated technology	concentrated technology
concentrated application	concentrated application
concentrated deployment	concentrated deployment
concentrated development	concentrated development
concentrated infrastructure	concentrated infrastructure
concentrated network	concentrated network
concentrated grid	concentrated grid
concentrated market	concentrated market
thermal system	thermal system
thermal plant	thermal plant
thermal facility	thermal facility
thermal project	thermal project
thermal installation	thermal installation
thermal array	thermal array
thermal farm	thermal farm
thermal park	thermal park
thermal station	thermal station
thermal generator	thermal generator
thermal unit	thermal unit
thermal module	thermal module
thermal solution	thermal solution
thermal technology	thermal technology
thermal application	thermal application
thermal deployment	thermal deployment
thermal development	thermal development
thermal infrastructure	thermal infrastructure
thermal network	thermal network
thermal grid	thermal grid
thermal market	thermal market
photothermal system	photothermal system
photothermal plant	photothermal plant
photothermal facility	photothermal facility
photothermal project	photothermal project
photothermal installation	photothermal installation
photothermal array	photothermal array
photothermal farm	photothermal farm
photothermal park	photothermal park
photothermal station	photothermal station
photothermal generator	photothermal generator
photothermal unit	photothermal unit
photothermal module	photothermal module
photothermal solution	photothermal solution
photothermal technology	photothermal technology
photothermal application	photothermal application
photothermal deployment	photothermal deployment
photothermal development	photothermal development
photothermal infrastructure	photothermal infrastructure
photothermal network	photothermal network
photothermal grid	photothermal grid
photothermal market	photothermal market
thermoelectric system	thermoelectric system
thermoelectric plant	thermoelectric plant
thermoelectric facility	thermoelectric facility
thermoelectric project	thermoelectric project
thermoelectric installation	thermoelectric installation
thermoelectric array	thermoelectric array
thermoelectric farm	thermoelectric farm
thermoelectric park	thermoelectric park
thermoelectric station	thermoelectric station
thermoelectric generator	thermoelectric generator
thermoelectric unit	thermoelectric unit
thermoelectric module	thermoelectric module
thermoelectric solution	thermoelectric solution
thermoelectric technology	thermoelectric technology
thermoelectric application	thermoelectric application
thermoelectric deployment	thermoelectric deployment
thermoelectric development	thermoelectric development
thermoelectric infrastructure	thermoelectric infrastructure
thermoelectric network	thermoelectric network
thermoelectric grid	thermoelectric grid
thermoelectric market	thermoelectric market
direct current system	direct current system
direct current plant	direct current plant
direct current facility	direct current facility
direct current project	direct current project
direct current installation	direct current installation
direct current array	direct current array
direct current farm	direct current farm
direct current park	direct current park
direct current station	direct current station
direct current generator	direct current generator
direct current unit	direct current unit
direct current module	direct current module
direct current solution	direct current solution
direct current technology	direct current technology
direct current application	direct current application
direct current deployment	direct current deployment
direct current development	direct current development
direct current infrastructure	direct current infrastructure
direct current network	direct current network
direct current grid	direct current grid
direct current market	direct current market
alternating current system	alternating current system
alternating current plant	alternating current plant
alternating current facility	alternating current facility
alternating current project	alternating current project
alternating current installation	alternating current installation
alternating current array	alternating current array
alternating current farm	alternating current farm
alternating current park	alternating current park
alternating current station	alternating current station
alternating current generator	alternating current generator
alternating current unit	alternating current unit
alternating current module	alternating current module
alternating current solution	alternating current solution
alternating current technology	alternating current technology
alternating current application	alternating current application
alternating current deployment	alternating current deployment
alternating current development	alternating current development
alternating current infrastructure	alternating current infrastructure
horizontal axis wind turbine	水平轴风力发电机
vertical axis wind turbine	垂直轴风力发电机
Darrieus turbine	达里厄风力机
Savonius turbine	萨沃纽斯风力机
direct drive turbine	直驱风力机
hybrid drive turbine	半直驱风力机
doubly fed induction generator	双馈异步发电机
permanent magnet synchronous generator	永磁同步发电机
squirrel cage induction generator	鼠笼异步发电机
cut-in wind speed	切入风速
survival wind speed	极限生存风速
power curve	功率曲线
thrust curve	推力曲线
wind class	风区等级
turbulence intensity	湍流强度
swept area	扫风面积
specific power	单位扫风面积功率
power density	功率密度
annual energy production	年发电量
wake loss	尾流损失
blockage effect	阻塞效应
wind farm layout optimization	风场布局优化
nacelle	机舱
rotor hub	轮毂
pitch system	变桨系统
variable pitch	变桨距
fixed pitch	定桨距
stall regulation	失速调节
active stall	主动失速
gearbox	齿轮箱
planetary gearbox	行星齿轮箱
parallel shaft gearbox	平行轴齿轮箱
wind vane	风向标
ultrasonic anemometer	超声波风速计
LIDAR	激光雷达
SODAR	声雷达
wind resource assessment	风资源评估
wind atlas	风资源图谱
Weibull distribution	威布尔分布
wind rose	风玫瑰图
wind shear	风切变
wind shear exponent	风切变指数
low-level jet	低空急流
extreme wind speed	极端风速
turbulence	湍流
wind turbine noise	风机噪声
amplitude modulation	幅度调制
infrasound	次声
shadow flicker	光影闪烁
radar interference	雷达干扰
aviation lighting	航空警示灯
bird collision	鸟类碰撞
bat mortality	蝙蝠死亡
marine spatial planning	海洋空间规划
offshore substation	海上升压站
transition piece	过渡段
monopile foundation	单桩基础
jacket foundation	导管架基础
gravity base foundation	重力式基础
suction bucket foundation	吸力桶基础
floating foundation	浮式基础
spar buoy	柱式浮标
semi-submersible platform	半潜式平台
tension leg platform	张力腿平台
mooring system	系泊系统
dynamic cable	动态电缆
scour protection	冲刷防护
corrosion protection	腐蚀防护
sacrificial anode	牺牲阳极
impressed current cathodic protection	外加电流阴极保护
marine growth	海生物附着
service operation vessel	服务运维船
helicopter access	直升机登乘
boat landing	登靠平台
blade design	叶片设计
airfoil	翼型
chord length	弦长
twist angle	扭转角
pitch angle	桨距角
angle of attack	攻角
lift coefficient	升力系数
drag coefficient	阻力系数
lift-to-drag ratio	升阻比
Betz limit	贝茨极限
tip speed ratio	叶尖速比
power coefficient	风能利用系数
thrust coefficient	推力系数
rotor solidity	转子实度
blade root	叶片根部
blade tip	叶片尖端
spar cap	主梁帽
shear web	抗剪腹板
trailing edge	后缘
leading edge	前缘
leading edge protection	前缘保护
glass fiber reinforced polymer	玻璃纤维增强聚合物
carbon fiber reinforced polymer	碳纤维增强聚合物
pultrusion	拉挤成型
vacuum infusion	真空灌注
prepreg	预浸料
adhesive bonding	胶接
blade testing	叶片测试
static test	静态测试
fatigue test	疲劳测试
modal testing	模态测试
nondestructive testing	无损检测
ultrasonic testing	超声波检测
thermography	热成像检测
tap testing	敲击检测
structural health monitoring	结构健康监测
fiber optic sensing	光纤传感
damage tolerance	损伤容限
blade recycling	叶片回收
power converter	变流器
full-scale converter	全功率变流器
partial-scale converter	部分功率变流器
machine-side converter	电机侧变流器
grid-side converter	电网侧变流器
DC link	直流母线
DC link capacitor	直流母线电容
chopper circuit	斩波电路
crowbar circuit	撬棒电路
insulated gate bipolar transistor	绝缘栅双极晶体管
metal oxide semiconductor field effect transistor	金属氧化物半导体场效应管
gate driver	门极驱动
snubber circuit	缓冲电路
pulse width modulation	脉宽调制
space vector modulation	空间矢量调制
electromagnetic compatibility	电磁兼容性
harmonic distortion	谐波失真
power factor	功率因数
reactive power capability	无功功率能力
fault ride through	故障穿越
low voltage ride through	低电压穿越
zero voltage ride through	零电压穿越
high voltage ride through	高电压穿越
voltage dip	电压暂降
voltage swell	电压暂升
frequency deviation	频率偏差
rate of change of frequency	频率变化率
virtual inertia	虚拟惯量
power oscillation damping	功率振荡阻尼
subsynchronous oscillation	次同步振荡
programmable logic controller	可编程逻辑控制器
condition monitoring system	状态监测系统
vibration monitoring	振动监测
oil debris monitoring	油液磨粒监测
temperature monitoring	温度监测
partial discharge	局部放电
wind farm development	风场开发
site prospecting	场址勘查
wind measurement campaign	测风活动
met mast	测风塔
remote sensing device	遥感设备
wind data analysis	风数据分析
energy yield assessment	发电量评估
gross energy	毛电量
net energy	净电量
wake model	尾流模型
Jensen wake model	Jensen尾流模型
Eddy viscosity wake model	涡粘性尾流模型
large eddy simulation	大涡模拟
computational fluid dynamics	计算流体力学
micrositing	微观选址
noise modeling	噪声建模
shadow flicker assessment	光影闪烁评估
visual impact assessment	视觉影响评估
environmental impact assessment	环境影响评价
bird and bat survey	鸟类与蝙蝠调查
geotechnical investigation	岩土工程勘察
borehole	钻孔
cone penetration test	圆锥贯入试验
standard penetration test	标准贯入试验
bearing capacity	承载力
settlement analysis	沉降分析
liquefaction	液化
scour assessment	冲刷评估
geophysical survey	地球物理调查
seismic refraction	地震折射
electrical resistivity tomography	电阻率层析成像
ground penetrating radar	探地雷达
transmission line	输电线路
overhead line	架空线路
submarine cable	海底电缆
grid connection agreement	并网协议
interconnection study	并网研究
grid reinforcement	电网加强
substation	变电站
switchgear	开关设备
circuit breaker	断路器
earthing switch	接地开关
current transformer	电流互感器
voltage transformer	电压互感器
surge arrester	避雷器
busbar	母线
static VAR compensator	静止无功补偿器
static synchronous compensator	静止同步补偿器
wind turbine analysis	wind turbineanalysis
wind turbine testing	wind turbinetesting
wind turbine validation	wind turbinevalidation
wind turbine certification	wind turbinecertification
wind turbine maintenance	wind turbinemaintenance
wind turbine repair	wind turbinerepair
wind turbine overhaul	wind turbineoverhaul
wind turbine retrofit	wind turbineretrofit
wind turbine optimization	wind turbineoptimization
wind turbine evaluation	wind turbineevaluation
wind farm design	wind farmdesign
wind farm analysis	wind farmanalysis
wind farm modeling	wind farmmodeling
wind farm simulation	wind farmsimulation
wind farm testing	wind farmtesting
wind farm validation	wind farmvalidation
wind farm verification	wind farmverification
wind farm inspection	wind farminspection
wind farm maintenance	wind farmmaintenance
wind farm repair	wind farmrepair
wind farm overhaul	wind farmoverhaul
wind farm optimization	wind farmoptimization
wind farm assessment	wind farmassessment
wind farm measurement	wind farmmeasurement
wind power design	wind powerdesign
wind power modeling	wind powermodeling
wind power simulation	wind powersimulation
wind power validation	wind powervalidation
wind power certification	wind powercertification
wind power inspection	wind powerinspection
wind power repair	wind powerrepair
wind power overhaul	wind poweroverhaul
wind power upgrade	wind powerupgrade
wind power optimization	wind poweroptimization
wind power evaluation	wind powerevaluation
wind power assessment	wind powerassessment
wind power measurement	wind powermeasurement
wind energy simulation	wind energysimulation
wind energy testing	wind energytesting
wind energy validation	wind energyvalidation
wind energy verification	wind energyverification
wind energy certification	wind energycertification
wind energy maintenance	wind energymaintenance
wind energy repair	wind energyrepair
wind energy overhaul	wind energyoverhaul
wind energy upgrade	wind energyupgrade
wind resource analysis	wind resourceanalysis
wind resource modeling	wind resourcemodeling
wind resource simulation	wind resourcesimulation
wind resource validation	wind resourcevalidation
wind resource verification	wind resourceverification
wind resource certification	wind resourcecertification
wind resource inspection	wind resourceinspection
wind resource maintenance	wind resourcemaintenance
wind resource retrofit	wind resourceretrofit
wind resource upgrade	wind resourceupgrade
wind resource optimization	wind resourceoptimization
wind resource measurement	wind resourcemeasurement
rotor design	rotordesign
rotor certification	rotorcertification
rotor repair	rotorrepair
rotor retrofit	rotorretrofit
rotor optimization	rotoroptimization
rotor evaluation	rotorevaluation
rotor assessment	rotorassessment
nacelle design	nacelledesign
nacelle analysis	nacelleanalysis
nacelle modeling	nacellemodeling
nacelle simulation	nacellesimulation
nacelle testing	nacelletesting
nacelle validation	nacellevalidation
nacelle certification	nacellecertification
nacelle repair	nacellerepair
nacelle overhaul	nacelleoverhaul
nacelle upgrade	nacelleupgrade
nacelle optimization	nacelleoptimization
nacelle evaluation	nacelleevaluation
nacelle assessment	nacelleassessment
nacelle measurement	nacellemeasurement
tower design	towerdesign
tower analysis	toweranalysis
tower simulation	towersimulation
tower testing	towertesting
tower verification	towerverification
tower certification	towercertification
tower inspection	towerinspection
tower maintenance	towermaintenance
tower repair	towerrepair
tower overhaul	toweroverhaul
tower retrofit	towerretrofit
tower optimization	toweroptimization
tower evaluation	towerevaluation
tower measurement	towermeasurement
foundation analysis	foundationanalysis
foundation simulation	foundationsimulation
foundation testing	foundationtesting
foundation validation	foundationvalidation
foundation verification	foundationverification
foundation inspection	foundationinspection
foundation overhaul	foundationoverhaul
foundation retrofit	foundationretrofit
foundation optimization	foundationoptimization
foundation assessment	foundationassessment
foundation measurement	foundationmeasurement
hub modeling	hubmodeling
hub testing	hubtesting
hub validation	hubvalidation
hub verification	hubverification
hub certification	hubcertification
hub maintenance	hubmaintenance
hub overhaul	huboverhaul
hub assessment	hubassessment
hub measurement	hubmeasurement
pitch system design	pitch systemdesign
pitch system simulation	pitch systemsimulation
pitch system testing	pitch systemtesting
pitch system validation	pitch systemvalidation
pitch system verification	pitch systemverification
pitch system inspection	pitch systeminspection
pitch system repair	pitch systemrepair
pitch system overhaul	pitch systemoverhaul
pitch system retrofit	pitch systemretrofit
pitch system upgrade	pitch systemupgrade
pitch system optimization	pitch systemoptimization
pitch system evaluation	pitch systemevaluation
pitch system assessment	pitch systemassessment
pitch system measurement	pitch systemmeasurement
yaw system analysis	yaw systemanalysis
yaw system simulation	yaw systemsimulation
yaw system testing	yaw systemtesting
yaw system validation	yaw systemvalidation
yaw system verification	yaw systemverification
yaw system certification	yaw systemcertification
yaw system inspection	yaw systeminspection
yaw system maintenance	yaw systemmaintenance
yaw system overhaul	yaw systemoverhaul
yaw system upgrade	yaw systemupgrade
yaw system optimization	yaw systemoptimization
brake system design	brake systemdesign
brake system analysis	brake systemanalysis
brake system modeling	brake systemmodeling
brake system simulation	brake systemsimulation
brake system verification	brake systemverification
brake system maintenance	brake systemmaintenance
brake system repair	brake systemrepair
brake system overhaul	brake systemoverhaul
brake system upgrade	brake systemupgrade
brake system optimization	brake systemoptimization
brake system evaluation	brake systemevaluation
brake system assessment	brake systemassessment
brake system measurement	brake systemmeasurement
cooling system design	cooling systemdesign
cooling system analysis	cooling systemanalysis
cooling system simulation	cooling systemsimulation
cooling system validation	cooling systemvalidation
cooling system certification	cooling systemcertification
cooling system inspection	cooling systeminspection
cooling system maintenance	cooling systemmaintenance
cooling system repair	cooling systemrepair
cooling system retrofit	cooling systemretrofit
cooling system upgrade	cooling systemupgrade
cooling system optimization	cooling systemoptimization
cooling system evaluation	cooling systemevaluation
cooling system assessment	cooling systemassessment
cooling system measurement	cooling systemmeasurement
lubrication design	lubricationdesign
lubrication analysis	lubricationanalysis
lubrication modeling	lubricationmodeling
lubrication simulation	lubricationsimulation
lubrication validation	lubricationvalidation
lubrication certification	lubricationcertification
lubrication inspection	lubricationinspection
lubrication maintenance	lubricationmaintenance
lubrication repair	lubricationrepair
lubrication overhaul	lubricationoverhaul
lubrication retrofit	lubricationretrofit
lubrication upgrade	lubricationupgrade
lubrication evaluation	lubricationevaluation
lubrication assessment	lubricationassessment
gearbox modeling	gearboxmodeling
gearbox simulation	gearboxsimulation
gearbox testing	gearboxtesting
gearbox certification	gearboxcertification
gearbox inspection	gearboxinspection
gearbox overhaul	gearboxoverhaul
gearbox retrofit	gearboxretrofit
gearbox optimization	gearboxoptimization
generator design	generatordesign
generator analysis	generatoranalysis
generator testing	generatortesting
generator verification	generatorverification
generator certification	generatorcertification
generator inspection	generatorinspection
generator maintenance	generatormaintenance
generator repair	generatorrepair
generator overhaul	generatoroverhaul
generator retrofit	generatorretrofit
generator upgrade	generatorupgrade
generator optimization	generatoroptimization
generator assessment	generatorassessment
generator measurement	generatormeasurement
converter design	converterdesign
converter analysis	converteranalysis
converter modeling	convertermodeling
converter simulation	convertersimulation
converter testing	convertertesting
converter validation	convertervalidation
converter verification	converterverification
converter certification	convertercertification
converter inspection	converterinspection
converter repair	converterrepair
converter overhaul	converteroverhaul
converter upgrade	converterupgrade
converter evaluation	converterevaluation
converter assessment	converterassessment
converter measurement	convertermeasurement
transformer design	transformerdesign
transformer analysis	transformeranalysis
transformer modeling	transformermodeling
transformer simulation	transformersimulation
transformer validation	transformervalidation
transformer verification	transformerverification
transformer certification	transformercertification
transformer inspection	transformerinspection
transformer repair	transformerrepair
transformer overhaul	transformeroverhaul
transformer retrofit	transformerretrofit
transformer upgrade	transformerupgrade
transformer optimization	transformeroptimization
transformer evaluation	transformerevaluation
transformer assessment	transformerassessment
blade modeling	blademodeling
blade simulation	bladesimulation
blade certification	bladecertification
blade maintenance	blademaintenance
blade repair	bladerepair
blade overhaul	bladeoverhaul
blade retrofit	bladeretrofit
blade upgrade	bladeupgrade
blade optimization	bladeoptimization
blade evaluation	bladeevaluation
blade measurement	blademeasurement
spinner design	spinnerdesign
spinner analysis	spinneranalysis
spinner testing	spinnertesting
spinner validation	spinnervalidation
spinner certification	spinnercertification
spinner inspection	spinnerinspection
spinner maintenance	spinnermaintenance
spinner repair	spinnerrepair
spinner retrofit	spinnerretrofit
spinner optimization	spinneroptimization
spinner evaluation	spinnerevaluation
spinner assessment	spinnerassessment
spinner measurement	spinnermeasurement
nose cone design	nose conedesign
nose cone analysis	nose coneanalysis
nose cone modeling	nose conemodeling
nose cone simulation	nose conesimulation
nose cone testing	nose conetesting
nose cone validation	nose conevalidation
nose cone overhaul	nose coneoverhaul
nose cone assessment	nose coneassessment
canopy design	canopydesign
canopy analysis	canopyanalysis
canopy modeling	canopymodeling
canopy simulation	canopysimulation
canopy validation	canopyvalidation
canopy certification	canopycertification
canopy maintenance	canopymaintenance
canopy overhaul	canopyoverhaul
canopy retrofit	canopyretrofit
canopy upgrade	canopyupgrade
canopy measurement	canopymeasurement
bedplate design	bedplatedesign
bedplate modeling	bedplatemodeling
bedplate simulation	bedplatesimulation
bedplate testing	bedplatetesting
bedplate validation	bedplatevalidation
bedplate verification	bedplateverification
bedplate inspection	bedplateinspection
bedplate overhaul	bedplateoverhaul
bedplate upgrade	bedplateupgrade
bedplate optimization	bedplateoptimization
bedplate evaluation	bedplateevaluation
bedplate assessment	bedplateassessment
main shaft design	main shaftdesign
main shaft analysis	main shaftanalysis
main shaft modeling	main shaftmodeling
main shaft simulation	main shaftsimulation
main shaft validation	main shaftvalidation
main shaft verification	main shaftverification
main shaft inspection	main shaftinspection
main shaft maintenance	main shaftmaintenance
main shaft retrofit	main shaftretrofit
main shaft optimization	main shaftoptimization
main shaft evaluation	main shaftevaluation
main shaft measurement	main shaftmeasurement
main bearing design	main bearingdesign
main bearing analysis	main bearinganalysis
main bearing simulation	main bearingsimulation
main bearing testing	main bearingtesting
main bearing certification	main bearingcertification
main bearing inspection	main bearinginspection
main bearing overhaul	main bearingoverhaul
main bearing evaluation	main bearingevaluation
main bearing measurement	main bearingmeasurement
shrink disc design	shrink discdesign
shrink disc modeling	shrink discmodeling
shrink disc simulation	shrink discsimulation
shrink disc testing	shrink disctesting
shrink disc validation	shrink discvalidation
shrink disc verification	shrink discverification
shrink disc certification	shrink disccertification
shrink disc maintenance	shrink discmaintenance
shrink disc repair	shrink discrepair
shrink disc overhaul	shrink discoverhaul
shrink disc retrofit	shrink discretrofit
shrink disc upgrade	shrink discupgrade
shrink disc optimization	shrink discoptimization
shrink disc evaluation	shrink discevaluation
shrink disc assessment	shrink discassessment
shrink disc measurement	shrink discmeasurement
coupling design	couplingdesign
coupling analysis	couplinganalysis
coupling modeling	couplingmodeling
coupling testing	couplingtesting
coupling verification	couplingverification
coupling upgrade	couplingupgrade
coupling optimization	couplingoptimization
coupling assessment	couplingassessment
hydraulic design	hydraulicdesign
hydraulic analysis	hydraulicanalysis
hydraulic modeling	hydraulicmodeling
hydraulic testing	hydraulictesting
hydraulic validation	hydraulicvalidation
hydraulic verification	hydraulicverification
hydraulic certification	hydrauliccertification
hydraulic maintenance	hydraulicmaintenance
hydraulic repair	hydraulicrepair
hydraulic overhaul	hydraulicoverhaul
hydraulic retrofit	hydraulicretrofit
hydraulic upgrade	hydraulicupgrade
hydraulic evaluation	hydraulicevaluation
hydraulic assessment	hydraulicassessment
electric design	electricdesign
electric analysis	electricanalysis
electric validation	electricvalidation
electric verification	electricverification
electric certification	electriccertification
electric inspection	electricinspection
electric maintenance	electricmaintenance
electric overhaul	electricoverhaul
electric retrofit	electricretrofit
electric upgrade	electricupgrade
electric optimization	electricoptimization
electric evaluation	electricevaluation
mechanical design	mechanicaldesign
mechanical analysis	mechanicalanalysis
mechanical modeling	mechanicalmodeling
mechanical simulation	mechanicalsimulation
mechanical testing	mechanicaltesting
mechanical validation	mechanicalvalidation
mechanical verification	mechanicalverification
mechanical inspection	mechanicalinspection
mechanical maintenance	mechanicalmaintenance
mechanical repair	mechanicalrepair
mechanical overhaul	mechanicaloverhaul
mechanical retrofit	mechanicalretrofit
mechanical upgrade	mechanicalupgrade
mechanical optimization	mechanicaloptimization
mechanical measurement	mechanicalmeasurement
pneumatic design	pneumaticdesign
pneumatic analysis	pneumaticanalysis
pneumatic simulation	pneumaticsimulation
pneumatic validation	pneumaticvalidation
pneumatic verification	pneumaticverification
pneumatic certification	pneumaticcertification
pneumatic maintenance	pneumaticmaintenance
pneumatic upgrade	pneumaticupgrade
pneumatic optimization	pneumaticoptimization
pneumatic evaluation	pneumaticevaluation
pneumatic measurement	pneumaticmeasurement
condition monitoring design	condition monitoringdesign
condition monitoring analysis	condition monitoringanalysis
condition monitoring modeling	condition monitoringmodeling
condition monitoring simulation	condition monitoringsimulation
condition monitoring validation	condition monitoringvalidation
condition monitoring verification	condition monitoringverification
condition monitoring certification	condition monitoringcertification
condition monitoring maintenance	condition monitoringmaintenance
condition monitoring overhaul	condition monitoringoverhaul
condition monitoring upgrade	condition monitoringupgrade
condition monitoring optimization	condition monitoringoptimization
condition monitoring evaluation	condition monitoringevaluation
condition monitoring assessment	condition monitoringassessment
vibration monitoring design	vibration monitoringdesign
vibration monitoring analysis	vibration monitoringanalysis
vibration monitoring modeling	vibration monitoringmodeling
vibration monitoring verification	vibration monitoringverification
vibration monitoring maintenance	vibration monitoringmaintenance
vibration monitoring repair	vibration monitoringrepair
vibration monitoring overhaul	vibration monitoringoverhaul
vibration monitoring retrofit	vibration monitoringretrofit
vibration monitoring upgrade	vibration monitoringupgrade
vibration monitoring optimization	vibration monitoringoptimization
vibration monitoring evaluation	vibration monitoringevaluation
vibration monitoring assessment	vibration monitoringassessment
vibration monitoring measurement	vibration monitoringmeasurement
oil analysis design	oil analysisdesign
oil analysis analysis	oil analysisanalysis
oil analysis modeling	oil analysismodeling
oil analysis simulation	oil analysissimulation
oil analysis testing	oil analysistesting
oil analysis validation	oil analysisvalidation
oil analysis inspection	oil analysisinspection
oil analysis maintenance	oil analysismaintenance
oil analysis repair	oil analysisrepair
oil analysis retrofit	oil analysisretrofit
oil analysis upgrade	oil analysisupgrade
oil analysis optimization	oil analysisoptimization
oil analysis assessment	oil analysisassessment
oil analysis measurement	oil analysismeasurement
SCADA design	SCADAdesign
SCADA modeling	SCADAmodeling
SCADA testing	SCADAtesting
SCADA verification	SCADAverification
SCADA certification	SCADAcertification
SCADA maintenance	SCADAmaintenance
SCADA repair	SCADArepair
SCADA overhaul	SCADAoverhaul
SCADA retrofit	SCADAretrofit
SCADA upgrade	SCADAupgrade
SCADA evaluation	SCADAevaluation
SCADA assessment	SCADAassessment
CMS design	CMSdesign
CMS modeling	CMSmodeling
CMS testing	CMStesting
CMS validation	CMSvalidation
CMS verification	CMSverification
CMS certification	CMScertification
CMS inspection	CMSinspection
CMS repair	CMSrepair
CMS retrofit	CMSretrofit
CMS upgrade	CMSupgrade
CMS evaluation	CMSevaluation
CMS assessment	CMSassessment
CMS measurement	CMSmeasurement
CMS hardware design	CMS hardwaredesign
CMS hardware analysis	CMS hardwareanalysis
CMS hardware modeling	CMS hardwaremodeling
CMS hardware testing	CMS hardwaretesting
CMS hardware verification	CMS hardwareverification
CMS hardware certification	CMS hardwarecertification
CMS hardware maintenance	CMS hardwaremaintenance
CMS hardware repair	CMS hardwarerepair
CMS hardware overhaul	CMS hardwareoverhaul
CMS hardware retrofit	CMS hardwareretrofit
CMS hardware evaluation	CMS hardwareevaluation
CMS hardware measurement	CMS hardwaremeasurement
CMS software design	CMS softwaredesign
CMS software analysis	CMS softwareanalysis
CMS software modeling	CMS softwaremodeling
CMS software testing	CMS softwaretesting
CMS software validation	CMS softwarevalidation
CMS software certification	CMS softwarecertification
CMS software inspection	CMS softwareinspection
CMS software maintenance	CMS softwaremaintenance
CMS software repair	CMS softwarerepair
CMS software upgrade	CMS softwareupgrade
CMS software evaluation	CMS softwareevaluation
forecast analysis	forecastanalysis
forecast modeling	forecastmodeling
forecast simulation	forecastsimulation
forecast testing	forecasttesting
forecast validation	forecastvalidation
forecast verification	forecastverification
forecast certification	forecastcertification
forecast inspection	forecastinspection
forecast repair	forecastrepair
forecast retrofit	forecastretrofit
forecast upgrade	forecastupgrade
forecast optimization	forecastoptimization
forecast evaluation	forecastevaluation
forecast assessment	forecastassessment
forecasting analysis	forecastinganalysis
forecasting modeling	forecastingmodeling
forecasting simulation	forecastingsimulation
forecasting testing	forecastingtesting
forecasting validation	forecastingvalidation
forecasting verification	forecastingverification
forecasting certification	forecastingcertification
forecasting inspection	forecastinginspection
forecasting maintenance	forecastingmaintenance
forecasting optimization	forecastingoptimization
forecasting evaluation	forecastingevaluation
forecasting measurement	forecastingmeasurement
prediction analysis	predictionanalysis
prediction modeling	predictionmodeling
prediction simulation	predictionsimulation
prediction testing	predictiontesting
prediction verification	predictionverification
prediction certification	predictioncertification
prediction inspection	predictioninspection
prediction maintenance	predictionmaintenance
prediction repair	predictionrepair
prediction overhaul	predictionoverhaul
prediction retrofit	predictionretrofit
prediction upgrade	predictionupgrade
prediction optimization	predictionoptimization
prediction evaluation	predictionevaluation
prediction measurement	predictionmeasurement
scheduling design	schedulingdesign
scheduling analysis	schedulinganalysis
scheduling modeling	schedulingmodeling
scheduling simulation	schedulingsimulation
scheduling testing	schedulingtesting
scheduling validation	schedulingvalidation
scheduling verification	schedulingverification
scheduling certification	schedulingcertification
scheduling inspection	schedulinginspection
scheduling repair	schedulingrepair
scheduling overhaul	schedulingoverhaul
scheduling retrofit	schedulingretrofit
scheduling upgrade	schedulingupgrade
scheduling optimization	schedulingoptimization
curtailment design	curtailmentdesign
curtailment analysis	curtailmentanalysis
curtailment simulation	curtailmentsimulation
curtailment testing	curtailmenttesting
curtailment verification	curtailmentverification
curtailment inspection	curtailmentinspection
curtailment maintenance	curtailmentmaintenance
curtailment repair	curtailmentrepair
curtailment overhaul	curtailmentoverhaul
curtailment retrofit	curtailmentretrofit
curtailment evaluation	curtailmentevaluation
curtailment assessment	curtailmentassessment
availability design	availabilitydesign
availability analysis	availabilityanalysis
availability modeling	availabilitymodeling
availability simulation	availabilitysimulation
availability validation	availabilityvalidation
availability inspection	availabilityinspection
availability maintenance	availabilitymaintenance
availability repair	availabilityrepair
availability overhaul	availabilityoverhaul
availability retrofit	availabilityretrofit
availability upgrade	availabilityupgrade
availability optimization	availabilityoptimization
availability evaluation	availabilityevaluation
availability assessment	availabilityassessment
availability measurement	availabilitymeasurement
reliability design	reliabilitydesign
reliability analysis	reliabilityanalysis
reliability modeling	reliabilitymodeling
reliability validation	reliabilityvalidation
reliability verification	reliabilityverification
reliability certification	reliabilitycertification
reliability inspection	reliabilityinspection
reliability upgrade	reliabilityupgrade
reliability optimization	reliabilityoptimization
reliability evaluation	reliabilityevaluation
reliability assessment	reliabilityassessment
reliability measurement	reliabilitymeasurement
maintainability design	maintainabilitydesign
maintainability analysis	maintainabilityanalysis
maintainability simulation	maintainabilitysimulation
maintainability validation	maintainabilityvalidation
maintainability verification	maintainabilityverification
maintainability inspection	maintainabilityinspection
maintainability overhaul	maintainabilityoverhaul
maintainability retrofit	maintainabilityretrofit
maintainability upgrade	maintainabilityupgrade
maintainability optimization	maintainabilityoptimization
maintainability evaluation	maintainabilityevaluation
serviceability design	serviceabilitydesign
serviceability analysis	serviceabilityanalysis
serviceability simulation	serviceabilitysimulation
serviceability testing	serviceabilitytesting
serviceability validation	serviceabilityvalidation
serviceability certification	serviceabilitycertification
serviceability inspection	serviceabilityinspection
serviceability maintenance	serviceabilitymaintenance
serviceability repair	serviceabilityrepair
serviceability overhaul	serviceabilityoverhaul
serviceability retrofit	serviceabilityretrofit
serviceability optimization	serviceabilityoptimization
serviceability evaluation	serviceabilityevaluation
serviceability measurement	serviceabilitymeasurement
wind speed measurement	wind speedmeasurement
