完整单词库 (共 6000 词)
============================================================

[   0] solar irradiance | 太阳辐照度 | 新能源 | 难度★★★
[1630] power factor | 功率因数 | 风电 | 难度★★
[1631] reactive power capability | 无功功率能力 | 风电 | 难度★★★
[1632] fault ride through | 故障穿越 | 风电 | 难度★★★
[1633] low voltage ride through | 低电压穿越 | 风电 | 难度★★★
[1634] zero voltage ride through | 零电压穿越 | 风电 | 难度★★★★
[1635] high voltage ride through | 高电压穿越 | 风电 | 难度★★★★
[1636] voltage dip | 电压暂降 | 风电 | 难度★★
[1637] voltage swell | 电压暂升 | 风电 | 难度★★★
[1638] frequency deviation | 频率偏差 | 风电 | 难度★★★
[1639] rate of change of frequency | 频率变化率 | 风电 | 难度★★★★
[1640] virtual inertia | 虚拟惯量 | 风电 | 难度★★★★
[1641] power oscillation damping | 功率振荡阻尼 | 风电 | 难度★★★★★
[1642] subsynchronous oscillation | 次同步振荡 | 风电 | 难度★★★★★
[1643] programmable logic controller | 可编程逻辑控制器 | 风电 | 难度★★
[1644] condition monitoring system | 状态监测系统 | 风电 | 难度★★★
[1645] vibration monitoring | 振动监测 | 风电 | 难度★★★
[1646] oil debris monitoring | 油液磨粒监测 | 风电 | 难度★★★
[1647] temperature monitoring | 温度监测 | 风电 | 难度★★
[1648] partial discharge | 局部放电 | 风电 | 难度★★★★
[1649] wind farm development | 风场开发 | 风电 | 难度★★
[1650] site prospecting | 场址勘查 | 风电 | 难度★★
[1651] wind measurement campaign | 测风活动 | 风电 | 难度★★★
[1652] met mast | 测风塔 | 风电 | 难度★★
[1653] remote sensing device | 遥感设备 | 风电 | 难度★★★
[1654] wind data analysis | 风数据分析 | 风电 | 难度★★★
[1655] energy yield assessment | 发电量评估 | 风电 | 难度★★★
[1656] gross energy | 毛电量 | 风电 | 难度★★★
[1657] net energy | 净电量 | 风电 | 难度★★★
[1658] wake model | 尾流模型 | 风电 | 难度★★★★
[1659] Jensen wake model | Jensen尾流模型 | 风电 | 难度★★★★★
[1660] Eddy viscosity wake model | 涡粘性尾流模型 | 风电 | 难度★★★★★
[1661] large eddy simulation | 大涡模拟 | 风电 | 难度★★★★★
[1662] computational fluid dynamics | 计算流体力学 | 风电 | 难度★★★★
[1663] micrositing | 微观选址 | 风电 | 难度★★★
[1664] noise modeling | 噪声建模 | 风电 | 难度★★★
[1665] shadow flicker assessment | 光影闪烁评估 | 风电 | 难度★★★
[1666] visual impact assessment | 视觉影响评估 | 风电 | 难度★★★
[1667] environmental impact assessment | 环境影响评价 | 风电 | 难度★★
[1668] bird and bat survey | 鸟类与蝙蝠调查 | 风电 | 难度★★★
[1669] geotechnical investigation | 岩土工程勘察 | 风电 | 难度★★★
[1670] borehole | 钻孔 | 风电 | 难度★★★
[1671] cone penetration test | 圆锥贯入试验 | 风电 | 难度★★★★
[1672] standard penetration test | 标准贯入试验 | 风电 | 难度★★★
[1673] bearing capacity | 承载力 | 风电 | 难度★★★
[1674] settlement analysis | 沉降分析 | 风电 | 难度★★★
[1675] liquefaction | 液化 | 风电 | 难度★★★★
[1676] scour assessment | 冲刷评估 | 风电 | 难度★★★
[1677] geophysical survey | 地球物理调查 | 风电 | 难度★★★
[1678] seismic refraction | 地震折射 | 风电 | 难度★★★★
[1679] electrical resistivity tomography | 电阻率层析成像 | 风电 | 难度★★★★
[1680] ground penetrating radar | 探地雷达 | 风电 | 难度★★★★
[1681] transmission line | 输电线路 | 风电 | 难度★★
[1682] overhead line | 架空线路 | 风电 | 难度★★
[1683] submarine cable | 海底电缆 | 风电 | 难度★★★
[1684] grid connection agreement | 并网协议 | 风电 | 难度★★★
[1685] interconnection study | 并网研究 | 风电 | 难度★★★★
[1686] grid reinforcement | 电网加强 | 风电 | 难度★★★
[1687] substation | 变电站 | 风电 | 难度★★
[1688] switchgear | 开关设备 | 风电 | 难度★★
[1689] circuit breaker | 断路器 | 风电 | 难度★★
[1690] earthing switch | 接地开关 | 风电 | 难度★★★
[1691] current transformer | 电流互感器 | 风电 | 难度★★
[1692] voltage transformer | 电压互感器 | 风电 | 难度★★
[1693] surge arrester | 避雷器 | 风电 | 难度★★
[1694] busbar | 母线 | 风电 | 难度★★
[1695] static VAR compensator | 静止无功补偿器 | 风电 | 难度★★★★
[1696] static synchronous compensator | 静止同步补偿器 | 风电 | 难度★★★★
[1697] wind turbine analysis | wind turbineanalysis | 风电 | 难度★★
[1698] wind turbine testing | wind turbinetesting | 风电 | 难度★★
[1699] wind turbine validation | wind turbinevalidation | 风电 | 难度★★
[1700] wind turbine certification | wind turbinecertification | 风电 | 难度★★
[1701] wind turbine maintenance | wind turbinemaintenance | 风电 | 难度★★
[1702] wind turbine repair | wind turbinerepair | 风电 | 难度★★
[1703] wind turbine overhaul | wind turbineoverhaul | 风电 | 难度★★
[1704] wind turbine retrofit | wind turbineretrofit | 风电 | 难度★★
[1705] wind turbine optimization | wind turbineoptimization | 风电 | 难度★★
[1706] wind turbine evaluation | wind turbineevaluation | 风电 | 难度★★
[1707] wind farm design | wind farmdesign | 风电 | 难度★★
[1708] wind farm analysis | wind farmanalysis | 风电 | 难度★★
[1709] wind farm modeling | wind farmmodeling | 风电 | 难度★★
[1710] wind farm simulation | wind farmsimulation | 风电 | 难度★★
[1711] wind farm testing | wind farmtesting | 风电 | 难度★★
[1712] wind farm validation | wind farmvalidation | 风电 | 难度★★
[1713] wind farm verification | wind farmverification | 风电 | 难度★★
[1714] wind farm inspection | wind farminspection | 风电 | 难度★★
[1715] wind farm maintenance | wind farmmaintenance | 风电 | 难度★★
[1716] wind farm repair | wind farmrepair | 风电 | 难度★★
[1717] wind farm overhaul | wind farmoverhaul | 风电 | 难度★★
[1718] wind farm optimization | wind farmoptimization | 风电 | 难度★★
[1719] wind farm assessment | wind farmassessment | 风电 | 难度★★
[1720] wind farm measurement | wind farmmeasurement | 风电 | 难度★★
[1721] wind power design | wind powerdesign | 风电 | 难度★★
[1722] wind power modeling | wind powermodeling | 风电 | 难度★★
[1723] wind power simulation | wind powersimulation | 风电 | 难度★★
[1724] wind power validation | wind powervalidation | 风电 | 难度★★
[1725] wind power certification | wind powercertification | 风电 | 难度★★
[1726] wind power inspection | wind powerinspection | 风电 | 难度★★
[1727] wind power repair | wind powerrepair | 风电 | 难度★★
[1728] wind power overhaul | wind poweroverhaul | 风电 | 难度★★
[1729] wind power upgrade | wind powerupgrade | 风电 | 难度★★
[1730] wind power optimization | wind poweroptimization | 风电 | 难度★★
[1731] wind power evaluation | wind powerevaluation | 风电 | 难度★★
[1732] wind power assessment | wind powerassessment | 风电 | 难度★★
[1733] wind power measurement | wind powermeasurement | 风电 | 难度★★
[1734] wind energy simulation | wind energysimulation | 风电 | 难度★★
[1735] wind energy testing | wind energytesting | 风电 | 难度★★
[1736] wind energy validation | wind energyvalidation | 风电 | 难度★★
[1737] wind energy verification | wind energyverification | 风电 | 难度★★
[1738] wind energy certification | wind energycertification | 风电 | 难度★★
[1739] wind energy maintenance | wind energymaintenance | 风电 | 难度★★
[1740] wind energy repair | wind energyrepair | 风电 | 难度★★
[1741] wind energy overhaul | wind energyoverhaul | 风电 | 难度★★
[1742] wind energy upgrade | wind energyupgrade | 风电 | 难度★★
[1743] wind resource analysis | wind resourceanalysis | 风电 | 难度★★
[1744] wind resource modeling | wind resourcemodeling | 风电 | 难度★★
[1745] wind resource simulation | wind resourcesimulation | 风电 | 难度★★
[1746] wind resource validation | wind resourcevalidation | 风电 | 难度★★
[1747] wind resource verification | wind resourceverification | 风电 | 难度★★
[1748] wind resource certification | wind resourcecertification | 风电 | 难度★★
[1749] wind resource inspection | wind resourceinspection | 风电 | 难度★★
[1750] wind resource maintenance | wind resourcemaintenance | 风电 | 难度★★
[1751] wind resource retrofit | wind resourceretrofit | 风电 | 难度★★
[1752] wind resource upgrade | wind resourceupgrade | 风电 | 难度★★
[1753] wind resource optimization | wind resourceoptimization | 风电 | 难度★★
[1754] wind resource measurement | wind resourcemeasurement | 风电 | 难度★★
[1755] rotor design | rotordesign | 风电 | 难度★★
[1756] rotor certification | rotorcertification | 风电 | 难度★★
[1757] rotor repair | rotorrepair | 风电 | 难度★★
[1758] rotor retrofit | rotorretrofit | 风电 | 难度★★
[1759] rotor optimization | rotoroptimization | 风电 | 难度★★
[1760] rotor evaluation | rotorevaluation | 风电 | 难度★★
[1761] rotor assessment | rotorassessment | 风电 | 难度★★
[1762] nacelle design | nacelledesign | 风电 | 难度★★
[1763] nacelle analysis | nacelleanalysis | 风电 | 难度★★
[1764] nacelle modeling | nacellemodeling | 风电 | 难度★★
[1765] nacelle simulation | nacellesimulation | 风电 | 难度★★
[1766] nacelle testing | nacelletesting | 风电 | 难度★★
[1767] nacelle validation | nacellevalidation | 风电 | 难度★★
[1768] nacelle certification | nacellecertification | 风电 | 难度★★
[1769] nacelle repair | nacellerepair | 风电 | 难度★★
[1770] nacelle overhaul | nacelleoverhaul | 风电 | 难度★★
[1771] nacelle upgrade | nacelleupgrade | 风电 | 难度★★
[1772] nacelle optimization | nacelleoptimization | 风电 | 难度★★
[1773] nacelle evaluation | nacelleevaluation | 风电 | 难度★★
[1774] nacelle assessment | nacelleassessment | 风电 | 难度★★
[1775] nacelle measurement | nacellemeasurement | 风电 | 难度★★
[1776] tower design | towerdesign | 风电 | 难度★★
[1777] tower analysis | toweranalysis | 风电 | 难度★★
[1778] tower simulation | towersimulation | 风电 | 难度★★
[1779] tower testing | towertesting | 风电 | 难度★★
[1780] tower verification | towerverification | 风电 | 难度★★
[1781] tower certification | towercertification | 风电 | 难度★★
[1782] tower inspection | towerinspection | 风电 | 难度★★
[1783] tower maintenance | towermaintenance | 风电 | 难度★★
[1784] tower repair | towerrepair | 风电 | 难度★★
[1785] tower overhaul | toweroverhaul | 风电 | 难度★★
[1786] tower retrofit | towerretrofit | 风电 | 难度★★
[1787] tower optimization | toweroptimization | 风电 | 难度★★
[1788] tower evaluation | towerevaluation | 风电 | 难度★★
[1789] tower measurement | towermeasurement | 风电 | 难度★★
[1790] foundation analysis | foundationanalysis | 风电 | 难度★★
[1791] foundation simulation | foundationsimulation | 风电 | 难度★★
[1792] foundation testing | foundationtesting | 风电 | 难度★★
[1793] foundation validation | foundationvalidation | 风电 | 难度★★
[1794] foundation verification | foundationverification | 风电 | 难度★★
[1795] foundation inspection | foundationinspection | 风电 | 难度★★
[1796] foundation overhaul | foundationoverhaul | 风电 | 难度★★
[1797] foundation retrofit | foundationretrofit | 风电 | 难度★★
[1798] foundation optimization | foundationoptimization | 风电 | 难度★★
[1799] foundation assessment | foundationassessment | 风电 | 难度★★
[1800] foundation measurement | foundationmeasurement | 风电 | 难度★★
[1801] hub modeling | hubmodeling | 风电 | 难度★★
[1802] hub testing | hubtesting | 风电 | 难度★★
[1803] hub validation | hubvalidation | 风电 | 难度★★
[1804] hub verification | hubverification | 风电 | 难度★★
[1805] hub certification | hubcertification | 风电 | 难度★★
[1806] hub maintenance | hubmaintenance | 风电 | 难度★★
[1807] hub overhaul | huboverhaul | 风电 | 难度★★
[1808] hub assessment | hubassessment | 风电 | 难度★★
[1809] hub measurement | hubmeasurement | 风电 | 难度★★
[1810] pitch system design | pitch systemdesign | 风电 | 难度★★
[1811] pitch system simulation | pitch systemsimulation | 风电 | 难度★★
[1812] pitch system testing | pitch systemtesting | 风电 | 难度★★
[1813] pitch system validation | pitch systemvalidation | 风电 | 难度★★
[1814] pitch system verification | pitch systemverification | 风电 | 难度★★
[1815] pitch system inspection | pitch systeminspection | 风电 | 难度★★
[1816] pitch system repair | pitch systemrepair | 风电 | 难度★★
[1817] pitch system overhaul | pitch systemoverhaul | 风电 | 难度★★
[1818] pitch system retrofit | pitch systemretrofit | 风电 | 难度★★
[1819] pitch system upgrade | pitch systemupgrade | 风电 | 难度★★
[1820] pitch system optimization | pitch systemoptimization | 风电 | 难度★★
[1821] pitch system evaluation | pitch systemevaluation | 风电 | 难度★★
[1822] pitch system assessment | pitch systemassessment | 风电 | 难度★★
[1823] pitch system measurement | pitch systemmeasurement | 风电 | 难度★★
[1824] yaw system analysis | yaw systemanalysis | 风电 | 难度★★
[1825] yaw system simulation | yaw systemsimulation | 风电 | 难度★★
[1826] yaw system testing | yaw systemtesting | 风电 | 难度★★
[1827] yaw system validation | yaw systemvalidation | 风电 | 难度★★
[1828] yaw system verification | yaw systemverification | 风电 | 难度★★
[1829] yaw system certification | yaw systemcertification | 风电 | 难度★★
[1830] yaw system inspection | yaw systeminspection | 风电 | 难度★★
[1831] yaw system maintenance | yaw systemmaintenance | 风电 | 难度★★
[1832] yaw system overhaul | yaw systemoverhaul | 风电 | 难度★★
[1833] yaw system upgrade | yaw systemupgrade | 风电 | 难度★★
[1834] yaw system optimization | yaw systemoptimization | 风电 | 难度★★
[1835] brake system design | brake systemdesign | 风电 | 难度★★
[1836] brake system analysis | brake systemanalysis | 风电 | 难度★★
[1837] brake system modeling | brake systemmodeling | 风电 | 难度★★
[1838] brake system simulation | brake systemsimulation | 风电 | 难度★★
[1839] brake system verification | brake systemverification | 风电 | 难度★★
[1840] brake system maintenance | brake systemmaintenance | 风电 | 难度★★
[1841] brake system repair | brake systemrepair | 风电 | 难度★★
[1842] brake system overhaul | brake systemoverhaul | 风电 | 难度★★
[1843] brake system upgrade | brake systemupgrade | 风电 | 难度★★
[1844] brake system optimization | brake systemoptimization | 风电 | 难度★★
[1845] brake system evaluation | brake systemevaluation | 风电 | 难度★★
[1846] brake system assessment | brake systemassessment | 风电 | 难度★★
[1847] brake system measurement | brake systemmeasurement | 风电 | 难度★★
[1848] cooling system design | cooling systemdesign | 风电 | 难度★★
[1849] cooling system analysis | cooling systemanalysis | 风电 | 难度★★
[1850] cooling system simulation | cooling systemsimulation | 风电 | 难度★★
[1851] cooling system validation | cooling systemvalidation | 风电 | 难度★★
[1852] cooling system certification | cooling systemcertification | 风电 | 难度★★
[1853] cooling system inspection | cooling systeminspection | 风电 | 难度★★
[1854] cooling system maintenance | cooling systemmaintenance | 风电 | 难度★★
[1855] cooling system repair | cooling systemrepair | 风电 | 难度★★
[1856] cooling system retrofit | cooling systemretrofit | 风电 | 难度★★
[1857] cooling system upgrade | cooling systemupgrade | 风电 | 难度★★
[1858] cooling system optimization | cooling systemoptimization | 风电 | 难度★★
[1859] cooling system evaluation | cooling systemevaluation | 风电 | 难度★★
[1860] cooling system assessment | cooling systemassessment | 风电 | 难度★★
[1861] cooling system measurement | cooling systemmeasurement | 风电 | 难度★★
[1862] lubrication design | lubricationdesign | 风电 | 难度★★
[1863] lubrication analysis | lubricationanalysis | 风电 | 难度★★
[1864] lubrication modeling | lubricationmodeling | 风电 | 难度★★
[1865] lubrication simulation | lubricationsimulation | 风电 | 难度★★
[1866] lubrication validation | lubricationvalidation | 风电 | 难度★★
[1867] lubrication certification | lubricationcertification | 风电 | 难度★★
[1868] lubrication inspection | lubricationinspection | 风电 | 难度★★
[1869] lubrication maintenance | lubricationmaintenance | 风电 | 难度★★
[1870] lubrication repair | lubricationrepair | 风电 | 难度★★
[1871] lubrication overhaul | lubricationoverhaul | 风电 | 难度★★
[1872] lubrication retrofit | lubricationretrofit | 风电 | 难度★★
[1873] lubrication upgrade | lubricationupgrade | 风电 | 难度★★
[1874] lubrication evaluation | lubricationevaluation | 风电 | 难度★★
[1875] lubrication assessment | lubricationassessment | 风电 | 难度★★
[1876] gearbox modeling | gearboxmodeling | 风电 | 难度★★
[1877] gearbox simulation | gearboxsimulation | 风电 | 难度★★
[1878] gearbox testing | gearboxtesting | 风电 | 难度★★
[1879] gearbox certification | gearboxcertification | 风电 | 难度★★
[1880] gearbox inspection | gearboxinspection | 风电 | 难度★★
[1881] gearbox overhaul | gearboxoverhaul | 风电 | 难度★★
[1882] gearbox retrofit | gearboxretrofit | 风电 | 难度★★
[1883] gearbox optimization | gearboxoptimization | 风电 | 难度★★
[1884] generator design | generatordesign | 风电 | 难度★★
[1885] generator analysis | generatoranalysis | 风电 | 难度★★
[1886] generator testing | generatortesting | 风电 | 难度★★
[1887] generator verification | generatorverification | 风电 | 难度★★
[1888] generator certification | generatorcertification | 风电 | 难度★★
[1889] generator inspection | generatorinspection | 风电 | 难度★★
[1890] generator maintenance | generatormaintenance | 风电 | 难度★★
[1891] generator repair | generatorrepair | 风电 | 难度★★
[1892] generator overhaul | generatoroverhaul | 风电 | 难度★★
[1893] generator retrofit | generatorretrofit | 风电 | 难度★★
[1894] generator upgrade | generatorupgrade | 风电 | 难度★★
[1895] generator optimization | generatoroptimization | 风电 | 难度★★
[1896] generator assessment | generatorassessment | 风电 | 难度★★
[1897] generator measurement | generatormeasurement | 风电 | 难度★★
[1898] converter design | converterdesign | 风电 | 难度★★
[1899] converter analysis | converteranalysis | 风电 | 难度★★
[1900] converter modeling | convertermodeling | 风电 | 难度★★
[1901] converter simulation | convertersimulation | 风电 | 难度★★
[1902] converter testing | convertertesting | 风电 | 难度★★
[1903] converter validation | convertervalidation | 风电 | 难度★★
[1904] converter verification | converterverification | 风电 | 难度★★
[1905] converter certification | convertercertification | 风电 | 难度★★
[1906] converter inspection | converterinspection | 风电 | 难度★★
[1907] converter repair | converterrepair | 风电 | 难度★★
[1908] converter overhaul | converteroverhaul | 风电 | 难度★★
[1909] converter upgrade | converterupgrade | 风电 | 难度★★
[1910] converter evaluation | converterevaluation | 风电 | 难度★★
[1911] converter assessment | converterassessment | 风电 | 难度★★
[1912] converter measurement | convertermeasurement | 风电 | 难度★★
[1913] transformer design | transformerdesign | 风电 | 难度★★
[1914] transformer analysis | transformeranalysis | 风电 | 难度★★
[1915] transformer modeling | transformermodeling | 风电 | 难度★★
[1916] transformer simulation | transformersimulation | 风电 | 难度★★
[1917] transformer validation | transformervalidation | 风电 | 难度★★
[1918] transformer verification | transformerverification | 风电 | 难度★★
[1919] transformer certification | transformercertification | 风电 | 难度★★
[1920] transformer inspection | transformerinspection | 风电 | 难度★★
[1921] transformer repair | transformerrepair | 风电 | 难度★★
[1922] transformer overhaul | transformeroverhaul | 风电 | 难度★★
[1923] transformer retrofit | transformerretrofit | 风电 | 难度★★
[1924] transformer upgrade | transformerupgrade | 风电 | 难度★★
[1925] transformer optimization | transformeroptimization | 风电 | 难度★★
[1926] transformer evaluation | transformerevaluation | 风电 | 难度★★
[1927] transformer assessment | transformerassessment | 风电 | 难度★★
[1928] blade modeling | blademodeling | 风电 | 难度★★
[1929] blade simulation | bladesimulation | 风电 | 难度★★
[1930] blade certification | bladecertification | 风电 | 难度★★
[1931] blade maintenance | blademaintenance | 风电 | 难度★★
[1932] blade repair | bladerepair | 风电 | 难度★★
[1933] blade overhaul | bladeoverhaul | 风电 | 难度★★
[1934] blade retrofit | bladeretrofit | 风电 | 难度★★
[1935] blade upgrade | bladeupgrade | 风电 | 难度★★
[1936] blade optimization | bladeoptimization | 风电 | 难度★★
[1937] blade evaluation | bladeevaluation | 风电 | 难度★★
[1938] blade measurement | blademeasurement | 风电 | 难度★★
[1939] spinner design | spinnerdesign | 风电 | 难度★★
[1940] spinner analysis | spinneranalysis | 风电 | 难度★★
[1941] spinner testing | spinnertesting | 风电 | 难度★★
[1942] spinner validation | spinnervalidation | 风电 | 难度★★
[1943] spinner certification | spinnercertification | 风电 | 难度★★
[1944] spinner inspection | spinnerinspection | 风电 | 难度★★
[1945] spinner maintenance | spinnermaintenance | 风电 | 难度★★
[1946] spinner repair | spinnerrepair | 风电 | 难度★★
[1947] spinner retrofit | spinnerretrofit | 风电 | 难度★★
[1948] spinner optimization | spinneroptimization | 风电 | 难度★★
[1949] spinner evaluation | spinnerevaluation | 风电 | 难度★★
[1950] spinner assessment | spinnerassessment | 风电 | 难度★★
[1951] spinner measurement | spinnermeasurement | 风电 | 难度★★
[1952] nose cone design | nose conedesign | 风电 | 难度★★
[1953] nose cone analysis | nose coneanalysis | 风电 | 难度★★
[1954] nose cone modeling | nose conemodeling | 风电 | 难度★★
[1955] nose cone simulation | nose conesimulation | 风电 | 难度★★
[1956] nose cone testing | nose conetesting | 风电 | 难度★★
[1957] nose cone validation | nose conevalidation | 风电 | 难度★★
[1958] nose cone overhaul | nose coneoverhaul | 风电 | 难度★★
[1959] nose cone assessment | nose coneassessment | 风电 | 难度★★
[1960] canopy design | canopydesign | 风电 | 难度★★
[1961] canopy analysis | canopyanalysis | 风电 | 难度★★
[1962] canopy modeling | canopymodeling | 风电 | 难度★★
[1963] canopy simulation | canopysimulation | 风电 | 难度★★
[1964] canopy validation | canopyvalidation | 风电 | 难度★★
[1965] canopy certification | canopycertification | 风电 | 难度★★
[1966] canopy maintenance | canopymaintenance | 风电 | 难度★★
[1967] canopy overhaul | canopyoverhaul | 风电 | 难度★★
[1968] canopy retrofit | canopyretrofit | 风电 | 难度★★
[1969] canopy upgrade | canopyupgrade | 风电 | 难度★★
[1970] canopy measurement | canopymeasurement | 风电 | 难度★★
[1971] bedplate design | bedplatedesign | 风电 | 难度★★
[1972] bedplate modeling | bedplatemodeling | 风电 | 难度★★
[1973] bedplate simulation | bedplatesimulation | 风电 | 难度★★
[1974] bedplate testing | bedplatetesting | 风电 | 难度★★
[1975] bedplate validation | bedplatevalidation | 风电 | 难度★★
[1976] bedplate verification | bedplateverification | 风电 | 难度★★
[1977] bedplate inspection | bedplateinspection | 风电 | 难度★★
[1978] bedplate overhaul | bedplateoverhaul | 风电 | 难度★★
[1979] bedplate upgrade | bedplateupgrade | 风电 | 难度★★
[1980] bedplate optimization | bedplateoptimization | 风电 | 难度★★
[1981] bedplate evaluation | bedplateevaluation | 风电 | 难度★★
[1982] bedplate assessment | bedplateassessment | 风电 | 难度★★
[1983] main shaft design | main shaftdesign | 风电 | 难度★★
[1984] main shaft analysis | main shaftanalysis | 风电 | 难度★★
[1985] main shaft modeling | main shaftmodeling | 风电 | 难度★★
[1986] main shaft simulation | main shaftsimulation | 风电 | 难度★★
[1987] main shaft validation | main shaftvalidation | 风电 | 难度★★
[1988] main shaft verification | main shaftverification | 风电 | 难度★★
[1989] main shaft inspection | main shaftinspection | 风电 | 难度★★
[1990] main shaft maintenance | main shaftmaintenance | 风电 | 难度★★
[1991] main shaft retrofit | main shaftretrofit | 风电 | 难度★★
[1992] main shaft optimization | main shaftoptimization | 风电 | 难度★★
[1993] main shaft evaluation | main shaftevaluation | 风电 | 难度★★
[1994] main shaft measurement | main shaftmeasurement | 风电 | 难度★★
[1995] main bearing design | main bearingdesign | 风电 | 难度★★
[1996] main bearing analysis | main bearinganalysis | 风电 | 难度★★
[1997] main bearing simulation | main bearingsimulation | 风电 | 难度★★
[1998] main bearing testing | main bearingtesting | 风电 | 难度★★
[1999] main bearing certification | main bearingcertification | 风电 | 难度★★
[2000] main bearing inspection | main bearinginspection | 风电 | 难度★★
[2001] main bearing overhaul | main bearingoverhaul | 风电 | 难度★★
[2002] main bearing evaluation | main bearingevaluation | 风电 | 难度★★
[2003] main bearing measurement | main bearingmeasurement | 风电 | 难度★★
[2004] shrink disc design | shrink discdesign | 风电 | 难度★★
[2005] shrink disc modeling | shrink discmodeling | 风电 | 难度★★
[2006] shrink disc simulation | shrink discsimulation | 风电 | 难度★★
[2007] shrink disc testing | shrink disctesting | 风电 | 难度★★
[2008] shrink disc validation | shrink discvalidation | 风电 | 难度★★
[2009] shrink disc verification | shrink discverification | 风电 | 难度★★
[2010] shrink disc certification | shrink disccertification | 风电 | 难度★★
[2011] shrink disc maintenance | shrink discmaintenance | 风电 | 难度★★
[2012] shrink disc repair | shrink discrepair | 风电 | 难度★★
[2013] shrink disc overhaul | shrink discoverhaul | 风电 | 难度★★
[2014] shrink disc retrofit | shrink discretrofit | 风电 | 难度★★
[2015] shrink disc upgrade | shrink discupgrade | 风电 | 难度★★
[2016] shrink disc optimization | shrink discoptimization | 风电 | 难度★★
[2017] shrink disc evaluation | shrink discevaluation | 风电 | 难度★★
[2018] shrink disc assessment | shrink discassessment | 风电 | 难度★★
[2019] shrink disc measurement | shrink discmeasurement | 风电 | 难度★★
[2020] coupling design | couplingdesign | 风电 | 难度★★
[2021] coupling analysis | couplinganalysis | 风电 | 难度★★
[2022] coupling modeling | couplingmodeling | 风电 | 难度★★
[2023] coupling testing | couplingtesting | 风电 | 难度★★
[2024] coupling verification | couplingverification | 风电 | 难度★★
[2025] coupling upgrade | couplingupgrade | 风电 | 难度★★
[2026] coupling optimization | couplingoptimization | 风电 | 难度★★
[2027] coupling assessment | couplingassessment | 风电 | 难度★★
[2028] hydraulic design | hydraulicdesign | 风电 | 难度★★
[2029] hydraulic analysis | hydraulicanalysis | 风电 | 难度★★
[2030] hydraulic modeling | hydraulicmodeling | 风电 | 难度★★
[2031] hydraulic testing | hydraulictesting | 风电 | 难度★★
[2032] hydraulic validation | hydraulicvalidation | 风电 | 难度★★
[2033] hydraulic verification | hydraulicverification | 风电 | 难度★★
[2034] hydraulic certification | hydrauliccertification | 风电 | 难度★★
[2035] hydraulic maintenance | hydraulicmaintenance | 风电 | 难度★★
[2036] hydraulic repair | hydraulicrepair | 风电 | 难度★★
[2037] hydraulic overhaul | hydraulicoverhaul | 风电 | 难度★★
[2038] hydraulic retrofit | hydraulicretrofit | 风电 | 难度★★
[2039] hydraulic upgrade | hydraulicupgrade | 风电 | 难度★★
[2040] hydraulic evaluation | hydraulicevaluation | 风电 | 难度★★
[2041] hydraulic assessment | hydraulicassessment | 风电 | 难度★★
[2042] electric design | electricdesign | 风电 | 难度★★
[2043] electric analysis | electricanalysis | 风电 | 难度★★
[2044] electric validation | electricvalidation | 风电 | 难度★★
[2045] electric verification | electricverification | 风电 | 难度★★
[2046] electric certification | electriccertification | 风电 | 难度★★
[2047] electric inspection | electricinspection | 风电 | 难度★★
[2048] electric maintenance | electricmaintenance | 风电 | 难度★★
[2049] electric overhaul | electricoverhaul | 风电 | 难度★★
[2050] electric retrofit | electricretrofit | 风电 | 难度★★
[2051] electric upgrade | electricupgrade | 风电 | 难度★★
[2052] electric optimization | electricoptimization | 风电 | 难度★★
[2053] electric evaluation | electricevaluation | 风电 | 难度★★
[2054] mechanical design | mechanicaldesign | 风电 | 难度★★
[2055] mechanical analysis | mechanicalanalysis | 风电 | 难度★★
[2056] mechanical modeling | mechanicalmodeling | 风电 | 难度★★
[2057] mechanical simulation | mechanicalsimulation | 风电 | 难度★★
[2058] mechanical testing | mechanicaltesting | 风电 | 难度★★
[2059] mechanical validation | mechanicalvalidation | 风电 | 难度★★
[2060] mechanical verification | mechanicalverification | 风电 | 难度★★
[2061] mechanical inspection | mechanicalinspection | 风电 | 难度★★
[2062] mechanical maintenance | mechanicalmaintenance | 风电 | 难度★★
[2063] mechanical repair | mechanicalrepair | 风电 | 难度★★
[2064] mechanical overhaul | mechanicaloverhaul | 风电 | 难度★★
[2065] mechanical retrofit | mechanicalretrofit | 风电 | 难度★★
[2066] mechanical upgrade | mechanicalupgrade | 风电 | 难度★★
[2067] mechanical optimization | mechanicaloptimization | 风电 | 难度★★
[2068] mechanical measurement | mechanicalmeasurement | 风电 | 难度★★
[2069] pneumatic design | pneumaticdesign | 风电 | 难度★★
[2070] pneumatic analysis | pneumaticanalysis | 风电 | 难度★★
[2071] pneumatic simulation | pneumaticsimulation | 风电 | 难度★★
[2072] pneumatic validation | pneumaticvalidation | 风电 | 难度★★
[2073] pneumatic verification | pneumaticverification | 风电 | 难度★★
[2074] pneumatic certification | pneumaticcertification | 风电 | 难度★★
[2075] pneumatic maintenance | pneumaticmaintenance | 风电 | 难度★★
[2076] pneumatic upgrade | pneumaticupgrade | 风电 | 难度★★
[2077] pneumatic optimization | pneumaticoptimization | 风电 | 难度★★
[2078] pneumatic evaluation | pneumaticevaluation | 风电 | 难度★★
[2079] pneumatic measurement | pneumaticmeasurement | 风电 | 难度★★
[2080] condition monitoring design | condition monitoringdesign | 风电 | 难度★★
